Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
GTX0468.bin.76_k141,1614844,21413,565227,3843,5513,4943,3953,236285,4044
GTX0468.bin.79_k141,1004247,87861,269671,84883,3805,164070,81086,342502,10816
GTX0468.bin.7_k141,476722,13832,427872,5058,224,12122,9659,203416,688
GTX0468.bin.80_k141,2825759,91130,154892,27033,15786,23269,36320,609236,14045
GTX0468.bin.9_k141,414252,5377,83913,350,18,1315,787,15531,155
GTX0481.bin.20_k141,19757,207380,44424,1015022,471202,128917,162499,38872,85243
GTX0481.bin.25_k141,28164,146009,21858,971386,575133,156830,187897,24287,308356
GTX0481.bin.28_k141,5416,8827,5944,235114,2444,6475,8283,2823,16863
GTX0481.bin.2_k141,13850,28713,30103,270221,10379,15335,18345,24339,35651
GTX0481.bin.6_k141,1005,1135839,2975,442239,840,15706,45215,707,54755
GTX0481.bin.8_k141,135608,1025998,15918,566958,3357,99164,253367,7473,51223
GTX0484.bin.11_k141,8419,60955,11166,24379,2295,385486,42093,6755,2449
GTX0484.bin.13_k141,131,302805,251,72381,5129,383903,168026,122,8841
GTX0484.bin.18_k141,80,33658,128,1687,100,382025,12834,538,938
GTX0484.bin.1_k141,3060,43452,11398,7499,308,489871,13716,2733,2085
GTX0484.bin.22_k141,52796,2028801,355085,365411,185706,788575,998968,355023,290408
GTX0484.bin.25_k141,3733,27053,19865,1185,22,685249,17440,7450,42
GTX0484.bin.26_k141,1653,19992,3243,39192,1454,243834,14158,1763,19264
GTX0484.bin.4_k141,20360,555286,29627,533413,196827,881625,809155,28111,150334
GTX0486.bin.100_k141,456320,13265,2420789,3163,2824,2943,3221,24737,3128
GTX0486.bin.103_k141,175043,22818,1572588,728,199,614,1109,302715,418
GTX0486.bin.1_k141,6608,757,219008,115,1,174,163,9873,27
GTX0486.bin.21_k141,656,4804,318040,1646,24,3449,775,35696,110
GTX0486.bin.33_k141,98334,15289,280290,2749,175,9285,3327,95950,656
GTX0486.bin.41_k141,28773,65,292597,100,40,100,81,8907,80
GTX0486.bin.48_k141,4900,6765,239790,2261,669,1720,3051,8751,1477
GTX0486.bin.49_k141,477581,476371,1585124,8604,9319,10067,8741,1445666,6325
GTX0486.bin.54_k141,42583,6306,155873,554,22,570,532,41768,97
GTX0486.bin.57_k141,50889,160615,335146,10187,862,12175,12385,71539,2871
GTX0486.bin.5_k141,145376,69,1321010,28,4,51,24,80098,11
GTX0486.bin.66_k141,16,173,137666,13,0,5,41,1435,3
GTX0486.bin.74_k141,782660,17450,522825,959,38,19167,4633,132927,526
GTX0486.bin.77_k141,352818,132,1518263,14,5,357,309,93131,10
GTX0486.bin.83_k141,5778,480,382437,164,7,123,125,14188,26
GTX0486.bin.92_k141,32853,9109,581559,609,216,2457,3158,63086,686
GTX0486.bin.96_k141,345378,1934,2050681,250,9,190,208,126617,55
GTX0486.bin.99_k141,4286,19713,398501,4405,202,8432,5457,28025,1645
GTX0493.bin.10_k141,28696,267624,24955,417458,142292,118293,267226,29974,807970
GTX0493.bin.14_k141,1785,12801,3137,97310,915241,7340,15840,1450,624146
GTX0493.bin.18_k141,12829,33568,28799,30860,31931,21548,30081,22282,250856
GTX0493.bin.21_k141,12285,131188,15617,31144,19177,50067,64352,8838,264845
GTX0493.bin.23_k141,208870,403876,2793800,3365034,5684341,4659582,165101,364295,4219886
GTX0493.bin.27_k141,36,65846,228,19841,16580,12016,16359,20,178918
GTX0493.bin.34_k141,4220,76102,8163,205309,576685,59179,38829,5455,262670
GTX0493.bin.7_k141,1324,17042,1545,219313,1110726,21204,97668,1244,417539
GTX0494.bin.10_k141,11317,55825,17828,183221,355840,60844,54698,13402,220581
GTX0494.bin.19_k141,89864708,183280616,83657203,107365432,106980077,136654285,90351246,69819014,102726761
GTX0494.bin.20_k141,940,17600,1183,182690,642918,90018,80526,719,226556
GTX0494.bin.21_k141,21152,183540,27565,201555,307315,112197,86971,13713,114346
GTX0494.bin.29_k141,1235,12475,2674,201616,630316,3195,7894,1234,377191
GTX0494.bin.9_k141,6916,1118245,9521,1039890,1920192,297874,485857,5506,1478786
