Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
GTX0468.bin.79_k141,100.0,93.56,99.99,92.89,11.01,99.4,91.89,100.0,28.55
GTX0468.bin.7_k141,100.0,29.16,100.0,11.34,0.52,25.82,21.39,99.62,1.61
GTX0468.bin.80_k141,100.0,95.49,99.51,59.02,41.31,53.72,70.53,100.0,37.13
GTX0468.bin.9_k141,100.0,15.27,94.21,1.05,0.06,4.07,2.43,40.8,0.46
GTX0481.bin.20_k141,53.23,99.98,81.82,100.0,100.0,99.55,99.89,77.49,97.22
GTX0481.bin.25_k141,42.1,94.07,34.07,100.0,100.0,95.44,97.51,37.57,99.77
GTX0481.bin.28_k141,17.47,29.72,19.41,100.0,8.51,22.7,25.96,9.8,50.97
GTX0481.bin.2_k141,47.71,74.39,75.57,100.0,41.32,52.12,58.42,67.81,84.79
GTX0481.bin.6_k141,2.35,100.0,6.69,100.0,2.14,31.72,68.53,1.65,76.32
GTX0481.bin.8_k141,99.79,100.0,47.15,100.0,13.04,98.9,100.0,26.79,90.31
GTX0484.bin.11_k141,18.14,78.28,23.38,46.01,5.58,100.0,65.58,14.69,6.02
GTX0484.bin.13_k141,0.45,100.0,0.83,92.31,16.59,100.0,99.74,0.4,26.83
GTX0484.bin.18_k141,0.21,60.65,0.32,4.54,0.27,100.0,30.21,1.45,2.56
GTX0484.bin.1_k141,4.15,50.15,15.14,11.11,0.44,99.97,19.73,3.71,3.15
GTX0484.bin.22_k141,68.41,100.0,99.97,99.97,98.35,100.0,100.0,99.97,99.85
GTX0484.bin.25_k141,6.71,40.46,30.67,2.21,0.04,100.0,28.63,12.89,0.07
GTX0484.bin.26_k141,5.56,51.96,10.46,78.18,5.38,99.99,41.9,6.05,52.71
GTX0484.bin.4_k141,70.72,100.0,81.99,100.0,100.0,100.0,100.0,80.45,99.99
GTX0486.bin.100_k141,91.54,6.41,100.0,1.43,1.29,1.32,1.46,12.46,1.39
GTX0486.bin.103_k141,99.97,59.44,100.0,2.71,0.75,2.38,4.15,100.0,1.6
GTX0486.bin.1_k141,21.6,2.16,99.98,0.32,0.0,0.51,0.47,28.57,0.07
GTX0486.bin.21_k141,2.44,15.72,100.0,5.81,0.09,11.63,2.75,77.49,0.38
GTX0486.bin.33_k141,96.37,39.01,100.0,8.44,0.52,26.1,10.24,96.75,2.05
GTX0486.bin.41_k141,52.89,0.14,99.96,0.25,0.1,0.23,0.16,19.91,0.2
GTX0486.bin.48_k141,18.09,24.09,100.0,8.22,2.49,6.32,11.42,30.94,5.43
GTX0486.bin.49_k141,100.0,100.0,100.0,16.69,17.56,19.12,16.91,100.0,12.24
GTX0486.bin.54_k141,85.58,25.04,99.95,2.41,0.1,2.43,2.35,86.84,0.4
GTX0486.bin.57_k141,87.18,99.74,100.0,31.28,3.12,36.19,36.59,94.44,9.97
GTX0486.bin.5_k141,99.93,0.27,100.0,0.12,0.02,0.23,0.09,98.32,0.04
GTX0486.bin.66_k141,0.06,0.7,99.91,0.06,0.0,0.02,0.17,6.96,0.01
GTX0486.bin.74_k141,100.0,36.0,100.0,2.25,0.09,38.26,11.01,97.3,1.24
GTX0486.bin.77_k141,100.0,0.36,100.0,0.04,0.01,1.31,1.14,96.97,0.03
GTX0486.bin.83_k141,16.48,1.38,100.0,0.5,0.02,0.33,0.34,39.19,0.07
GTX0486.bin.92_k141,62.0,23.64,100.0,1.64,0.52,6.89,8.97,87.03,1.73
GTX0486.bin.96_k141,99.96,3.95,100.0,0.51,0.02,0.36,0.42,94.45,0.11
GTX0486.bin.99_k141,11.57,40.99,100.0,11.07,0.52,20.35,13.66,58.18,4.26
GTX0493.bin.10_k141,46.72,99.78,42.11,99.99,95.93,93.27,99.79,48.19,100.0
GTX0493.bin.14_k141,6.52,39.74,10.98,98.75,100.0,26.38,48.06,5.37,100.0
GTX0493.bin.18_k141,41.79,76.06,69.99,74.25,78.14,60.5,72.51,60.77,100.0
GTX0493.bin.21_k141,29.42,98.03,35.82,61.33,44.42,76.78,84.75,22.52,99.98
GTX0493.bin.23_k141,34.45,56.77,99.86,99.96,100.0,100.0,29.37,50.02,100.0
GTX0493.bin.27_k141,0.17,97.19,1.13,66.46,60.13,48.75,59.18,0.09,100.0
GTX0493.bin.34_k141,17.21,97.42,31.05,100.0,100.0,94.27,84.54,22.21,100.0
GTX0493.bin.7_k141,3.18,42.83,3.78,99.96,100.0,51.61,96.74,2.9,100.0
GTX0494.bin.10_k141,30.91,85.46,43.54,99.87,100.0,88.78,85.67,35.52,99.97
GTX0494.bin.19_k141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GTX0494.bin.20_k141,3.65,55.6,4.58,99.98,100.0,98.63,97.83,2.73,100.0
GTX0494.bin.21_k141,43.17,99.38,52.57,99.73,99.99,95.81,91.06,30.78,96.45
GTX0494.bin.29_k141,4.51,39.97,9.64,99.99,100.0,12.05,27.54,4.53,100.0
GTX0494.bin.9_k141,12.65,100.0,17.25,100.0,100.0,99.87,100.0,10.03,100.0
