Orthogroup	Duplications (all)	Duplications (50% support)
OG0000154	68	68
OG0000155	68	68
OG0000156	34	28
OG0000157	27	20
OG0000158	67	67
OG0000159	67	67
OG0000160	22	9
OG0000161	65	65
OG0000162	35	30
OG0000163	63	63
OG0000164	17	5
OG0000165	51	45
OG0000166	17	11
OG0000167	63	63
OG0000168	21	18
OG0000169	13	11
OG0000170	62	62
OG0000171	62	62
OG0000172	62	62
OG0000173	62	62
OG0000174	33	26
OG0000175	61	61
OG0000176	61	61
OG0000177	61	61
OG0000178	28	24
OG0000179	16	9
OG0000180	60	60
OG0000181	60	60
OG0000182	18	11
OG0000183	57	57
OG0000184	45	37
OG0000185	30	21
OG0000186	16	14
OG0000187	20	14
OG0000188	26	17
OG0000189	10	6
OG0000190	22	18
OG0000191	14	6
OG0000192	58	58
OG0000193	18	15
OG0000194	12	7
OG0000195	14	10
OG0000196	32	26
OG0000197	25	16
OG0000198	57	57
OG0000199	57	57
OG0000200	57	57
OG0000201	6	3
OG0000202	13	7
OG0000203	9	5
OG0000204	13	2
OG0000205	15	7
OG0000206	56	56
OG0000207	13	5
OG0000208	21	14
OG0000209	20	16
OG0000210	14	11
OG0000211	24	17
OG0000212	23	15
OG0000213	55	55
OG0000214	52	49
OG0000215	55	55
OG0000216	55	55
OG0000217	55	55
OG0000218	55	55
OG0000219	55	55
OG0000220	55	55
OG0000221	20	13
OG0000222	13	5
OG0000223	21	10
OG0000224	18	10
OG0000225	11	6
OG0000226	34	28
OG0000227	25	17
OG0000228	30	21
OG0000229	54	54
OG0000230	54	54
OG0000231	54	54
OG0000232	17	9
OG0000233	6	3
OG0000234	8	2
OG0000235	26	16
OG0000236	23	20
OG0000237	14	12
OG0000238	48	45
OG0000239	25	23
OG0000240	53	53
OG0000241	53	53
OG0000242	53	53
OG0000243	21	10
OG0000244	13	8
OG0000245	18	16
OG0000246	21	9
OG0000247	12	11
OG0000248	12	4
OG0000249	14	2
OG0000250	12	6
OG0000251	21	12
OG0000252	27	24
OG0000253	52	52
OG0000254	52	52
OG0000255	49	49
OG0000256	8	4
OG0000257	33	32
OG0000258	12	8
OG0000259	11	5
OG0000260	9	5
OG0000261	51	51
OG0000262	51	51
OG0000263	51	51
OG0000264	51	51
OG0000265	51	51
OG0000266	51	51
OG0000267	15	11
OG0000268	16	10
OG0000269	29	25
OG0000270	13	8
OG0000271	11	6
OG0000272	10	6
OG0000273	5	2
OG0000274	7	5
OG0000275	50	50
OG0000276	50	50
OG0000277	13	4
OG0000278	12	4
OG0000279	13	5
OG0000280	19	13
OG0000281	49	49
OG0000282	49	49
OG0000283	6	4
OG0000284	12	9
OG0000285	21	10
OG0000286	14	4
OG0000287	11	3
OG0000288	8	2
OG0000289	6	5
OG0000290	18	5
OG0000291	12	6
OG0000292	12	7
OG0000293	5	4
OG0000294	13	8
OG0000295	22	19
OG0000296	13	10
OG0000297	24	22
OG0000298	48	48
OG0000299	48	48
OG0000300	36	30
OG0000301	14	10
OG0000302	17	8
OG0000303	6	6
OG0000304	4	4
OG0000305	4	4
OG0000306	13	9
OG0000307	5	4
OG0000308	5	1
OG0000309	7	7
OG0000310	14	8
OG0000311	14	9
OG0000312	24	22
OG0000313	33	29
OG0000314	42	39
OG0000315	47	47
OG0000316	47	47
