Orthogroup	Duplications (all)	Duplications (50% support)
OG0000851	5	1
OG0000852	6	1
OG0000853	7	3
OG0000854	16	8
OG0000855	8	2
OG0000856	5	2
OG0000857	15	10
OG0000858	3	0
OG0000859	23	12
OG0000860	13	5
OG0000861	9	6
OG0000862	13	6
OG0000863	3	0
OG0000864	12	7
OG0000865	6	4
OG0000866	19	13
OG0000867	3	1
OG0000868	5	2
OG0000869	15	9
OG0000870	5	2
OG0000871	9	3
OG0000872	5	1
OG0000873	22	10
OG0000874	6	0
OG0000875	4	0
OG0000876	18	8
OG0000877	10	4
OG0000878	17	12
OG0000879	9	0
OG0000880	4	1
OG0000881	2	1
OG0000882	10	4
OG0000883	63	63
OG0000884	65	65
OG0000885	60	56
OG0000886	6	1
OG0000887	5	1
OG0000888	5	2
OG0000889	7	6
OG0000890	4	1
OG0000891	11	4
OG0000892	13	5
OG0000893	7	2
OG0000894	17	8
OG0000895	16	7
OG0000896	7	0
OG0000897	4	0
OG0000898	9	4
OG0000899	13	2
OG0000900	5	1
OG0000901	5	1
OG0000902	7	4
OG0000903	5	3
OG0000904	16	4
OG0000905	10	4
OG0000906	8	2
OG0000907	23	9
OG0000908	7	0
OG0000909	2	1
OG0000910	3	1
OG0000911	4	2
OG0000912	11	6
OG0000913	12	9
OG0000914	2	1
OG0000915	7	2
OG0000916	15	2
OG0000917	12	8
OG0000918	14	4
OG0000919	4	1
OG0000920	27	12
OG0000921	11	4
OG0000922	7	0
OG0000923	20	10
OG0000924	5	1
OG0000925	6	4
OG0000926	14	8
OG0000927	14	8
OG0000928	6	0
OG0000929	7	1
OG0000930	3	1
OG0000931	4	1
OG0000932	10	1
OG0000933	7	2
OG0000934	8	4
OG0000935	12	3
OG0000936	16	4
OG0000937	7	4
OG0000938	5	0
OG0000939	8	2
OG0000940	4	1
OG0000941	5	1
OG0000942	15	5
OG0000943	2	1
OG0000944	2	1
OG0000945	4	0
OG0000946	5	1
OG0000947	15	7
OG0000948	2	1
OG0000949	3	0
OG0000950	4	2
OG0000951	13	8
OG0000952	5	3
OG0000953	3	0
OG0000954	10	9
OG0000955	4	1
OG0000956	11	5
OG0000957	3	0
OG0000958	13	3
OG0000959	10	6
OG0000960	2	1
OG0000961	13	10
OG0000962	2	1
OG0000963	6	2
OG0000964	8	0
OG0000965	13	5
OG0000966	6	2
OG0000967	3	1
OG0000968	6	2
OG0000969	9	5
OG0000970	5	1
OG0000971	7	2
OG0000972	8	2
OG0000973	5	1
OG0000974	7	2
OG0000975	4	2
OG0000976	4	3
OG0000977	6	0
OG0000978	7	1
OG0000979	4	1
OG0000980	4	2
OG0000981	4	1
OG0000982	14	5
OG0000983	8	4
OG0000984	17	14
OG0000985	4	0
OG0000986	13	6
OG0000987	6	3
OG0000988	3	1
OG0000989	3	0
OG0000990	3	1
OG0000991	5	2
OG0000992	4	1
OG0000993	8	4
OG0000994	10	3
OG0000995	10	1
