genome,score
GTX0494.bin.3.fa,46.171014533818024
GTX0466.bin.4.fa,69.82702913871218
GTX0466.bin.52.fa,51.61029975640558
GTX0468.bin.72.fa,72.95257510457009
GTX0466.bin.55.fa,66.63913642678573
GTX0466.bin.6.fa,67.02431799421632
GTX0468.bin.4.fa,73.960454145309
GTX0491.bin.36.fa,70.05419207836086
GTX0468.bin.17.fa,77.02613364899915
GTX0468.bin.1.fa,79.42656192439443
GTX0466.bin.7.fa,70.23654476492594
GTX0493.bin.27.fa,49.96253308919488
GTX0481.bin.10.fa,46.69991886293362
GTX0468.bin.6.fa,51.75718824704418
GTX0481.bin.28.fa,54.520148080135364
GTX0468.bin.14.fa,96.20525295518455
GTX0486_487.bin.1.fa,86.88911808447138
GTX0468.bin.19.fa,98.45431755971221
GTX0486_487.bin.73.fa,96.65564363252925
GTX0491.bin.7.fa,85.01358480679994
GTX0494.bin.21.fa,65.47656561259173
GTX0493.bin.21.fa,60.57733021529461
GTX0465.bin.32.fa,65.09452677879632
GTX0484.bin.11.fa,62.212412569202506
GTX0468.bin.68.fa,67.73933490051134
GTX0486_487.bin.90.fa,55.928764327761385
GTX0468.bin.26.fa,82.85493781685608
GTX0486_487.bin.54.fa,58.606906391782346
GTX0468.bin.9.fa,80.45187030942894
GTX0486_487.bin.92.fa,92.9963021795734
GTX0468.bin.35.fa,91.75913352340334
GTX0486_487.bin.74.fa,95.2862625360561
GTX0491.bin.21.fa,69.18732353472593
GTX0468.bin.60.fa,94.88225607135648
GTX0491.bin.29.fa,70.48268693640813
GTX0486_487.bin.57.fa,40.80424505258562
GTX0486_487.bin.5.fa,51.70309167278382
GTX0486_487.bin.50.fa,56.76018781570508
GTX0466.bin.9.fa,95.59670941290494
GTX0486_487.bin.99.fa,88.45174492414496
GTX0466.bin.25.fa,66.35565667225192
GTX0466.bin.47.fa,61.270045033952464
GTX0468.bin.30.fa,69.39903973808552
GTX0468.bin.50.fa,88.24524569514699
GTX0486_487.bin.33.fa,81.98383936996846
GTX0466.bin.69.fa,67.6637835813688
GTX0468.bin.65.fa,94.13049708462727
GTX0466.bin.23.fa,26.622317751884072
GTX0466.bin.82.fa,37.36903943096873
GTX0465.bin.25.fa,75.91951274561245
GTX0466.bin.89.fa,73.85696154416226
GTX0481.bin.8.fa,83.65545503426918
GTX0468.bin.34.fa,35.36081088204668
GTX0486_487.bin.103.fa,72.92005572981189
GTX0486_487.bin.70.fa,50.60816784297695
GTX0468.bin.45.fa,80.9237214213882
GTX0486_487.bin.40.fa,52.28207356657722
GTX0484.bin.17.fa,48.942870869301125
GTX0484.bin.1.fa,53.806249888769166
GTX0484.bin.28.fa,89.16553991096295
GTX0468.bin.49.fa,83.0739462143471
GTX0486_487.bin.36.fa,72.92586864149582
GTX0465.bin.17.fa,54.94779387345937
GTX0468.bin.43.fa,66.87600207312171
GTX0491.bin.40.fa,66.84764922643681
GTX0466.bin.53.fa,88.3414712581765
GTX0486_487.bin.8.fa,71.28523103490977
GTX0466.bin.81.fa,63.515840188263944
GTX0491.bin.37.fa,47.94763147917103
GTX0468.bin.79.fa,67.11942505322902
GTX0468.bin.7.fa,74.4693753815974
GTX0486_487.bin.47.fa,67.75830570885857
GTX0491.bin.24.fa,51.61958603275086
GTX0466.bin.2.fa,52.330550014988155
GTX0484.bin.26.fa,85.69946821165054
GTX0466.bin.86.fa,55.71217890211321
GTX0468.bin.44.fa,89.96812986213324
GTX0486_487.bin.61.fa,80.14447033068855
GTX0486_487.bin.77.fa,47.01809874038947
GTX0484.bin.21.fa,67.04881573359528
GTX0486_487.bin.48.fa,83.82778475106375
GTX0465.bin.23.fa,66.12123720647112
GTX0466.bin.45.fa,48.5240265865578
GTX0484.bin.22.fa,88.39200496620612
GTX0486_487.bin.26.fa,53.86884712889327
