DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Differentially Expressed
COLOR,#ff0000
FIELD_LABELS,Upregulated in lichen,Upregulated in culture
FIELD_SHAPES,4,5
FIELD_COLORS,#F8766D,#00B6EB
DATA
FUN_007039-T1,-1,-1
FUN_007071-T1,-1,-1
FUN_007093-T2,-1,-1
FUN_007182-T1,-1,1
FUN_007255-T1,-1,-1
FUN_007256-T1,-1,-1
FUN_007268-T1,1,-1
FUN_007272-T1,1,-1
FUN_007274-T1,-1,-1
FUN_007275-T1,-1,-1
FUN_007280-T1,1,-1
FUN_007281-T1,-1,-1
FUN_007287-T1,-1,-1
FUN_007288-T1,-1,-1
FUN_007316-T1,-1,-1
FUN_007377-T1,-1,-1
FUN_007383-T1,-1,-1
FUN_007388-T1,-1,1
FUN_007392-T1,-1,-1
FUN_007437-T1,-1,-1
FUN_007467-T1,1,-1
FUN_007482-T1,-1,1
FUN_007515-T1,1,-1
FUN_007616-T1,-1,-1
FUN_007624-T1,-1,-1
FUN_007655-T1,1,-1
FUN_007748-T1,-1,-1
FUN_007769-T1,-1,-1
FUN_007884-T1,-1,-1
FUN_007888-T1,-1,-1
FUN_007902-T1,-1,-1
FUN_007937-T1,-1,1
FUN_007944-T1,-1,-1
FUN_007976-T1,1,-1
FUN_007985-T1,-1,1
FUN_008015-T1,-1,-1
FUN_008027-T1,1,-1
FUN_008146-T1,1,-1
FUN_008252-T1,-1,-1
FUN_008269-T1,-1,-1
FUN_008270-T1,1,-1
FUN_008290-T1,-1,-1
FUN_008294-T1,-1,1
FUN_008387-T1,-1,-1
FUN_008404-T2,-1,-1
FUN_008429-T1,1,-1
FUN_008596-T1,-1,-1
FUN_008637-T1,-1,-1
FUN_008641-T1,-1,-1
FUN_008667-T1,-1,-1
FUN_008683-T1,1,-1
FUN_008754-T1,-1,-1
FUN_008763-T1,-1,-1
FUN_008764-T1,-1,-1
FUN_008830-T1,-1,-1
FUN_008841-T1,-1,-1
FUN_008858-T1,-1,-1
FUN_008990-T1,1,-1
FUN_009026-T1,1,-1
FUN_009038-T1,-1,-1
FUN_009065-T1,-1,-1
FUN_009124-T1,-1,1
FUN_009135-T1,1,-1
FUN_009148-T1,-1,-1
FUN_009170-T1,-1,1
FUN_009178-T1,-1,-1
FUN_009181-T1,-1,-1
FUN_009189-T1,1,-1
FUN_009211-T1,-1,-1
FUN_009239-T1,-1,-1
FUN_009293-T1,-1,-1
FUN_009311-T1,1,-1
FUN_009317-T1,1,-1
FUN_009340-T1,1,-1
FUN_009462-T1,-1,-1
FUN_009511-T1,1,-1
FUN_009521-T1,-1,-1
FUN_009572-T1,-1,-1
FUN_009606-T1,1,-1
FUN_009609-T1,-1,1
FUN_009613-T1,-1,1
FUN_009649-T1,-1,-1
FUN_009655-T1,-1,-1
FUN_009663-T1,-1,-1
FUN_009690-T1,1,-1
FUN_009694-T1,-1,-1
FUN_009699-T1,1,-1
FUN_009724-T1,-1,-1
FUN_009729-T1,-1,-1
FUN_009731-T1,1,-1
FUN_009743-T1,-1,-1
FUN_009750-T1,-1,-1
FUN_009758-T1,-1,-1
FUN_009761-T1,-1,1
FUN_009833-T1,-1,-1
FUN_009860-T1,-1,-1
FUN_009862-T1,-1,-1
FUN_009880-T1,-1,-1
FUN_009885-T1,-1,-1
FUN_009887-T1,1,-1
FUN_009902-T1,-1,1
FUN_009936-T1,1,-1
FUN_009945-T1,-1,-1
FUN_009972-T1,1,-1
FUN_009986-T1,-1,-1
FUN_010027-T1,1,-1
FUN_010044-T1,1,-1
FUN_010118-T1,-1,-1
FUN_010126-T2,-1,1
FUN_010132-T1,-1,1
FUN_010170-T1,1,-1
FUN_010179-T1,-1,-1
FUN_010191-T1,-1,1
FUN_010200-T1,-1,-1
FUN_010209-T1,-1,-1
FUN_010210-T1,-1,-1
FUN_010247-T1,1,-1
FUN_010250-T1,1,-1
FUN_010326-T1,-1,-1
FUN_010345-T1,-1,-1
FUN_010366-T1,1,-1
FUN_010370-T1,1,-1
FUN_010384-T1,-1,-1
FUN_010387-T1,-1,-1
FUN_010426-T1,-1,-1
FUN_010442-T1,-1,1
FUN_010443-T1,1,-1
FUN_010449-T1,1,-1
FUN_010470-T1,1,-1
FUN_010474-T1,-1,1
FUN_010550-T1,-1,-1
FUN_010580-T1,1,-1
FUN_010590-T1,-1,-1
FUN_010624-T1,1,-1
FUN_010647-T1,-1,-1
FUN_010665-T1,-1,-1
FUN_010682-T1,1,-1
FUN_010688-T1,-1,-1
FUN_010693-T1,1,-1
FUN_010734-T1,-1,-1
